ID NbBats Proj Graph Tree Trace
44123c25000325 3 0.03840517997741699 0.04785466194152832 0.02634882926940918 0.0456843376159668
44123c25000292 2 0.03518199920654297 0.07753944396972656 0.22866201400756836 0.018151044845581055
44123c25000143 3 0.0510406494140625 0.029706478118896484 0.1571040153503418 0.026325702667236328
44123c25000134 3 0.05494499206542969 0.03805947303771973 0.2330455780029297 0.03975105285644531
44123c25000276 5 0.12738633155822754 0.04471182823181152 0.2813382148742676 0.04378676414489746
44123c25000440 5 0.08697366714477539 0.03921175003051758 0.28420543670654297 0.03609776496887207
44123c25000058 3 0.04599928855895996 0.03111720085144043 0.14782261848449707 0.019979238510131836
44123c25000314 9 0.14443182945251465 0.0472409725189209 0.39097166061401367 0.07857179641723633
44123c25000287 3 0.04967451095581055 0.026383638381958008 0.08184194564819336 0.03027939796447754
44123c25000229 9 0.132735013961792 0.09612393379211426 1.2041699886322021 0.1551663875579834
44123c25000053 9 0.16015291213989258 0.07322883605957031 1.0149695873260498 0.20272278785705566
44123c25000344 4 0.0747537612915039 0.03008437156677246 0.017722606658935547 0.04365706443786621
44123c25000405 3 0.05943417549133301 0.036749839782714844 0.13976669311523438 0.03310656547546387
44123c25000196 8 0.14970707893371582 0.08788013458251953 1.9942927360534668 0.07953810691833496
44123c25000439 2 0.02394723892211914 0.028022050857543945 0.052625179290771484 0.018987655639648438
44123c25000061 6 0.16398978233337402 0.06563782691955566 1.0991718769073486 0.08076333999633789
44123c25000253 3 0.05269455909729004 0.056932926177978516 0.6481709480285645 0.04644012451171875
44123c25000231 3 0.049193620681762695 0.031195640563964844 0.14227747917175293 0.03552579879760742
44123c25000249 2 0.027130842208862305 0.044576168060302734 0.0966637134552002 0.04024243354797363
44123c25000125 4 0.09747862815856934 0.03584146499633789 0.1576216220855713 0.06429338455200195
44123c25000180 6 0.16885018348693848 0.1965932846069336 1.1364209651947021 0.1077883243560791
44123c25000324 2 0.0386350154876709 0.012334108352661133 0.04961133003234863 0.014707803726196289
44123c25000484 2 0.027914762496948242 0.015071868896484375 0.0344088077545166 0.013651132583618164
44123c25000261 22 0.40927672386169434 0.11689352989196777 3.0867552757263184 0.19086384773254395
44123c25000412 4 0.06721758842468262 0.16249513626098633 0.29035449028015137 0.030480146408081055
44123c25000119 8 0.20020079612731934 0.12389016151428223 2.789029836654663 0.11732149124145508
44123c25000019 7 0.12871956825256348 0.053716421127319336 0.7286806106567383 0.11295771598815918
44123c25000187 3 0.05089616775512695 0.0703425407409668 0.19501757621765137 0.01993536949157715
